,DE-BW,DE-BW-PR,BW,O-BW
1982-01-31,,,1.273454,0.9243165
1982-02-28,,,1.387754,0.8028033
1982-03-31,,,1.517518,0.8998477
1982-04-30,,,1.399229,0.704177
1982-05-31,,,1.459001,0.8661334
1982-06-30,,,1.359674,0.8668177
1982-07-31,,,1.193735,0.7271402
1982-08-31,,,0.9785058,0.400927
1982-09-30,,,0.8456762,0.1961807
1982-10-31,,,0.7779434,0.1411617
1982-11-30,,,0.8307424,0.0572634
1982-12-31,,,0.8485991,0.2068152
1983-01-31,,,0.6767235,0.1762682
1983-02-28,,,0.545817,0.1610674
1983-03-31,,,0.3697806,-0.0674093
1983-04-30,,,0.4636881,-0.036934
1983-05-31,,,0.4025822,-0.1685132
1983-06-30,,,0.4910389,-0.0992123
1983-07-31,,,0.6636804,0.0230436
1983-08-31,,,0.687465,-0.0205565
1983-09-30,,,0.821964,0.1079781
1983-10-31,,,1.373528,0.651336
1983-11-30,,,1.651958,0.9827865
1983-12-31,,,1.853173,1.126431
1984-01-31,,,2.26562,1.763084
1984-02-29,,,2.400542,1.953685
1984-03-31,,,2.341887,1.901329
1984-04-30,,,2.046725,1.644782
1984-05-31,,,2.321937,1.937115
1984-06-30,,,2.313416,1.938099
1984-07-31,,,2.198719,1.86589
1984-08-31,,,1.854764,1.674145
1984-09-30,,,1.797207,1.726829
1984-10-31,,,1.441802,1.414994
1984-11-30,,,1.440172,1.423857
1984-12-31,,,1.224504,1.18581
1985-01-31,,,1.107179,1.000155
1985-02-28,,,0.9820496,0.8362221
1985-03-31,,,0.904055,0.8725258
1985-04-30,,,0.9005381,0.9297755
1985-05-31,,,0.8160825,0.7836207
1985-06-30,,,0.6931332,0.6403146
1985-07-31,,,0.6276823,0.6189306
1985-08-31,,,0.7141165,0.6394165
1985-09-30,,,0.710115,0.548512
1985-10-31,,,0.6322588,0.5553521
1985-11-30,,,0.5743992,0.5474923
1985-12-31,,,0.6946782,0.6268846
1986-01-31,,,0.8319594,0.8217106
1986-02-28,,,0.7169055,0.6822968
1986-03-31,,,0.6967575,0.5910664
1986-04-30,,,0.6244225,0.4326411
1986-05-31,,,0.6589808,0.4877979
1986-06-30,,,0.6500861,0.5509775
1986-07-31,,,0.8903266,0.7485694
1986-08-31,,,0.9872478,0.8783717
1986-09-30,,,1.069122,0.8768258
1986-10-31,,,1.103692,0.9828882
1986-11-30,,,1.247387,1.130725
1986-12-31,,,1.290423,1.20774
1987-01-31,,,1.255289,1.287243
1987-02-28,,,1.118264,1.106486
1987-03-31,,,1.061882,1.059172
1987-04-30,,,1.092584,1.059989
1987-05-31,,,0.9875069,0.975588
1987-06-30,,,0.901102,0.8406955
1987-07-31,,,0.7622162,0.6904966
1987-08-31,,,0.6268582,0.4987918
1987-09-30,,,0.6594147,0.5749894
1987-10-31,,,0.5407542,0.3586679
1987-11-30,,,0.5715929,0.4574493
1987-12-31,,,0.263537,0.0861263
1988-01-31,,,0.2675797,0.0674929
1988-02-29,,,0.3092971,0.1371532
1988-03-31,,,0.1781106,0.0250383
1988-04-30,,,0.0164153,-0.0556015
1988-05-31,,,-0.002784,-0.039226
1988-06-30,,,-0.0987462,-0.1837167
1988-07-31,,,-0.200829,-0.2441375
1988-08-31,,,-0.2361961,-0.2319429
1988-09-30,,,-0.3127671,-0.1459942
1988-10-31,,,-0.4779835,-0.3513482
1988-11-30,,,-0.4691436,-0.3655961
1988-12-31,,,-0.4109452,-0.246703
1989-01-31,,,-0.4494762,-0.3449534
1989-02-28,,,-0.470301,-0.3434871
1989-03-31,,,-0.4627838,-0.2957532
1989-04-30,,,-0.4456376,-0.2188123
1989-05-31,,,-0.499098,-0.2208032
1989-06-30,,,-0.3755142,-0.0634096
1989-07-31,,,-0.4779811,-0.127009
1989-08-31,,,-0.5210576,-0.1761936
1989-09-30,,,-0.5092418,-0.2081195
1989-10-31,,,-0.5314921,-0.2427042
1989-11-30,,,-0.4868352,-0.1897604
1989-12-31,,,-0.3309666,-0.0558675
1990-01-31,,,-0.3010377,0.0676355
1990-02-28,,,-0.2750662,0.1004077
1990-03-31,,,-0.2368647,0.0741176
1990-04-30,,,-0.0289207,0.1686566
1990-05-31,,,-0.1056048,0.0451205
1990-06-30,,,-0.1024939,0.0465695
1990-07-31,,,-0.1780986,-0.0708554
1990-08-31,,,-0.0615503,-0.0663108
1990-09-30,,,-0.0572072,-0.3884398
1990-10-31,,,-0.0606415,-0.3116357
1990-11-30,,,-0.1644429,-0.3220318
1990-12-31,,-1.2558129804836549,-0.1944534,-0.2267458
1991-01-31,,-1.354790770403614,-0.2375561,-0.4087645
1991-02-28,,-0.7380355427814352,-0.1565974,-0.2861654
1991-03-31,,-0.5765889103669766,-0.2102382,-0.3208487
1991-04-30,,-0.3112286130238263,-0.1891765,-0.1578114
1991-05-31,,-0.40923546696967,-0.0847924,0.2537354
1991-06-30,,0.30282739562496136,8.5e-06,0.3202831
1991-07-31,,-0.0721408068187015,-0.1367799,0.1809866
1991-08-31,,-0.17148404082691884,-0.2349888,0.1382178
1991-09-30,,-0.5721011919844148,-0.1924519,0.0802299
1991-10-31,,0.2549168646091591,-0.1697982,0.0514368
1991-11-30,,0.40785668358202126,0.0196443,0.1296877
1991-12-31,,0.41159977692827204,0.1214785,0.1842355
1992-01-31,,0.006108790156742691,0.2500221999999999,0.3432454
1992-02-29,,-0.03714315788437832,0.4086246,0.3981761
1992-03-31,,0.20042850537164367,0.586534,0.4556317
1992-04-30,,1.1446456842487445,0.5133355,0.4660767
1992-05-31,,0.38265687303571116,0.5029137,0.51564
1992-06-30,,0.4940643041369994,0.5118189,0.552099
1992-07-31,,0.31286435170377513,0.4978485,0.4952904
1992-08-31,,-0.021095923824144908,0.5842369,0.60058
1992-09-30,,-0.1361810609280797,0.6489629,0.6578159
1992-10-31,,-0.6183872311644505,0.6119605,0.5986345
1992-11-30,,0.18651905461780027,0.6579433,0.6175703
1992-12-31,,-0.6890446484684977,0.7611774,0.7072105
1993-01-31,,1.137853653801551,0.8056253,0.7341092
